N,Function,Measurement_ms
256,OpenMP_t32,3.03217
256,OpenMP_t32,3.03219
256,OpenMP_t32,3.05569
256,OpenMP_t32,3.05635
256,OpenMP_t32,3.06426
256,OpenMP_t32,3.02779
256,OpenMP_t32,3.016
256,OpenMP_t32,3.01258
256,OpenMP_t32,3.00673
256,OpenMP_t32,3.03764
256,OpenMP_t32,3.04648
256,OpenMP_t32,3.06315
256,OpenMP_t32,3.03292
256,OpenMP_t32,3.02378
256,OpenMP_t32,3.02014
256,OpenMP_t32,3.02691
256,OpenMP_t32,3.01451
256,OpenMP_t32,3.01879
256,OpenMP_t32,3.01528
256,OpenMP_t32,3.01664
256,OpenMP_t32,3.01502
256,OpenMP_t32,3.02893
256,OpenMP_t32,3.02214
256,OpenMP_t32,3.01897
256,OpenMP_t32,3.01986
256,OpenMP_t32,3.02021
256,OpenMP_t32,3.02275
256,OpenMP_t32,3.02479
256,OpenMP_t32,3.01091
256,OpenMP_t32,3.02035
256,OpenMP_t32,3.0227
256,OpenMP_t32,3.0201
256,OpenMP_t32,3.01416
256,OpenMP_t32,3.034
256,OpenMP_t32,3.03139
256,OpenMP_t32,3.02957
256,OpenMP_t32,3.01428
256,OpenMP_t32,3.03438
256,OpenMP_t32,3.02745
256,OpenMP_t32,3.02597
256,OpenMP_t32,3.02732
256,OpenMP_t32,3.03009
256,OpenMP_t32,3.03034
256,OpenMP_t32,3.03208
256,OpenMP_t32,3.00593
256,OpenMP_t32,3.02977
256,OpenMP_t32,3.04454
256,OpenMP_t32,3.02443
256,OpenMP_t32,3.01473
256,OpenMP_t32,3.01186
256,OpenMP_t32,3.02851
256,OpenMP_t32,3.0313
256,OpenMP_t32,3.03037
256,OpenMP_t32,3.02141
256,OpenMP_t32,3.01904
256,OpenMP_t32,3.02613
256,OpenMP_t32,3.03905
256,OpenMP_t32,3.011
256,OpenMP_t32,3.03173
256,OpenMP_t32,3.02096
256,OpenMP_t32,3.03249
256,OpenMP_t32,3.00101
256,OpenMP_t32,3.02634
256,OpenMP_t32,3.05379
256,OpenMP_t32,3.02115
256,OpenMP_t32,2.99749
256,OpenMP_t32,3.03097
256,OpenMP_t32,3.02703
256,OpenMP_t32,3.02606
256,OpenMP_t32,3.0129
256,OpenMP_t32,3.02905
256,OpenMP_t32,3.03634
256,OpenMP_t32,3.02037
256,OpenMP_t32,3.01608
256,OpenMP_t32,3.03939
256,OpenMP_t32,4.47447
256,OpenMP_t32,3.09425
256,OpenMP_t32,2.95635
256,OpenMP_t32,2.99505
256,OpenMP_t32,3.02372
256,OpenMP_t32,3.05295
256,OpenMP_t32,4.25561
256,OpenMP_t32,3.15753
256,OpenMP_t32,2.96691
256,OpenMP_t32,2.97704
256,OpenMP_t32,3.03042
256,OpenMP_t32,3.04312
256,OpenMP_t32,3.0362
256,OpenMP_t32,3.03654
256,OpenMP_t32,3.0483
256,OpenMP_t64,3.0027
256,OpenMP_t64,3.02041
256,OpenMP_t64,3.01383
256,OpenMP_t64,3.01346
256,OpenMP_t64,3.01895
256,OpenMP_t64,3.00923
256,OpenMP_t64,3.00329
256,OpenMP_t64,3.00892
256,OpenMP_t64,3.01516
256,OpenMP_t64,3.0166
256,OpenMP_t64,3.01859
256,OpenMP_t64,3.01339
256,OpenMP_t64,3.04207
256,OpenMP_t64,3.06864
256,OpenMP_t64,3.13147
256,OpenMP_t64,3.13256
256,OpenMP_t64,3.10503
256,OpenMP_t64,3.11797
256,OpenMP_t64,3.08427
256,OpenMP_t64,3.07246
256,OpenMP_t64,3.08284
256,OpenMP_t64,3.11856
256,OpenMP_t64,3.03874
256,OpenMP_t64,3.01244
256,OpenMP_t64,3.00497
256,OpenMP_t64,3.01127
256,OpenMP_t64,3.0247
256,OpenMP_t64,3.01803
256,OpenMP_t64,3.01112
256,OpenMP_t64,3.03674
256,OpenMP_t64,3.08496
256,OpenMP_t64,3.13175
256,OpenMP_t64,3.16484
256,OpenMP_t64,3.10751
256,OpenMP_t64,3.07466
256,OpenMP_t64,3.08623
256,OpenMP_t64,3.09197
256,OpenMP_t64,3.08921
256,OpenMP_t64,3.10139
256,OpenMP_t64,3.08716
256,OpenMP_t64,3.03266
256,OpenMP_t64,3.07754
256,OpenMP_t64,3.11104
256,OpenMP_t64,3.16216
256,OpenMP_t64,3.10971
256,OpenMP_t64,3.06093
256,OpenMP_t64,3.05841
256,OpenMP_t64,3.10982
256,OpenMP_t64,3.09545
256,OpenMP_t64,3.08403
256,OpenMP_t64,3.087
256,OpenMP_t64,3.13022
256,OpenMP_t64,3.08579
256,OpenMP_t64,3.11833
256,OpenMP_t64,3.12907
256,OpenMP_t64,3.11777
256,OpenMP_t64,3.0988
256,OpenMP_t64,3.08882
256,OpenMP_t64,3.13187
256,OpenMP_t64,3.12688
256,OpenMP_t64,3.03837
256,OpenMP_t64,3.02975
256,OpenMP_t64,3.00779
256,OpenMP_t64,3.01881
256,OpenMP_t64,3.03849
256,OpenMP_t64,3.05289
256,OpenMP_t64,3.08034
256,OpenMP_t64,3.13991
256,OpenMP_t64,3.10843
256,OpenMP_t64,3.13306
256,OpenMP_t64,3.07377
256,OpenMP_t64,3.07457
256,OpenMP_t64,3.08759
256,OpenMP_t64,3.0641
256,OpenMP_t64,3.07031
256,OpenMP_t64,3.08742
256,OpenMP_t64,3.09142
256,OpenMP_t64,3.09536
256,OpenMP_t64,3.09966
256,OpenMP_t64,3.09228
256,OpenMP_t64,3.09759
256,OpenMP_t64,3.11058
256,OpenMP_t64,3.14448
256,OpenMP_t64,3.13872
256,OpenMP_t64,3.11814
256,OpenMP_t64,3.13702
256,OpenMP_t64,3.15709
256,OpenMP_t64,3.15197
256,OpenMP_t64,3.16387
256,OpenMP_t64,3.15674
256,OpenMP_t64,3.13678
256,OpenMP_t64,3.1717
256,OpenMP_t64,3.1913
256,OpenMP_t64,3.19321
256,OpenMP_t64,3.19512
256,OpenMP_t64,3.18502
256,OpenMP_t64,3.19047
256,OpenMP_t64,3.1891
256,OpenMP_t64,3.17456
256,OpenMP_t64,3.20039
256,OpenMP_t64,3.18184
256,OpenMP_t64,3.19806
256,OpenMP_t64,3.19781
256,OpenMP_t64,3.19611
256,OpenMP_t64,3.18505
256,OpenMP_t64,3.17212
256,OpenMP_t64,3.18413
256,OpenMP_t64,3.20053
256,OpenMP_t64,3.19306
256,OpenMP_t64,3.18443
256,OpenMP_t64,3.17681
256,OpenMP_t64,3.17861
256,OpenMP_t64,3.17957
256,OpenMP_t64,3.18716
256,OpenMP_t64,3.17905
256,OpenMP_t64,3.18157
256,OpenMP_t64,3.18668
256,OpenMP_t64,3.19147
256,OpenMP_t64,3.20544
256,OpenMP_t64,3.21977
256,OpenMP_t64,3.22117
256,OpenMP_t64,3.22582
256,OpenMP_t64,3.21803
256,OpenMP_t64,3.22289
256,OpenMP_t64,3.21083
256,OpenMP_t64,3.20598
256,OpenMP_t64,3.21562
256,OpenMP_t64,3.22536
256,OpenMP_t64,3.23018
256,OpenMP_t64,3.21884
256,OpenMP_t64,3.20965
256,OpenMP_t64,3.22617
256,OpenMP_t64,3.21966
256,OpenMP_t64,3.20949
256,OpenMP_t64,3.21499
256,OpenMP_t64,3.21142
256,OpenMP_t64,3.21411
256,OpenMP_t64,3.20941
256,OpenMP_t64,3.21809
256,OpenMP_t64,3.24545
256,OpenMP_t64,3.23528
256,OpenMP_t64,3.24284
256,OpenMP_t64,3.23791
256,OpenMP_t64,3.24276
256,OpenMP_t64,3.24814
256,OpenMP_t64,3.22697
256,OpenMP_t64,3.24666
256,OpenMP_t64,3.20753
256,OpenMP_t64,3.2249
256,OpenMP_t64,3.22804
256,OpenMP_t64,3.22242
256,OpenMP_t64,3.22293
256,OpenMP_t64,3.21944
256,OpenMP_t64,3.27297
256,OpenMP_t64,3.2448
256,OpenMP_t64,3.23309
256,OpenMP_t64,3.21302
256,OpenMP_t64,3.21711
256,OpenMP_t64,3.23534
256,OpenMP_t64,3.23636
256,OpenMP_t64,3.23821
256,OpenMP_t64,3.23468
256,OpenMP_t64,3.24279
256,OpenMP_t64,3.23954
256,OpenMP_t64,3.22124
256,OpenMP_t64,3.22745
256,OpenMP_t64,3.25098
256,OpenMP_t64,3.24594
256,OpenMP_t64,3.25043
256,OpenMP_t64,3.26784
256,OpenMP_t64,3.24285
256,OpenMP_t64,3.23424
256,OpenMP_t64,3.25917
256,OpenMP_t64,3.26592
256,OpenMP_t64,3.2989
256,OpenMP_t64,3.26946
256,OpenMP_t64,3.27385
256,OpenMP_t64,3.27911
256,OpenMP_t64,3.27921
256,OpenMP_t64,3.27003
256,OpenMP_t64,3.2666
256,OpenMP_t64,3.30125
256,OpenMP_t64,3.28404
256,OpenMP_t64,3.25705
256,OpenMP_t64,3.23974
256,OpenMP_t64,3.27141
256,OpenMP_t64,3.25497
256,OpenMP_t64,3.26965
256,OpenMP_t64,3.2626
256,OpenMP_t64,3.27974
256,OpenMP_t64,3.27478
256,OpenMP_t64,3.25448
256,OpenMP_t64,3.24459
256,OpenMP_t64,3.27899
256,OpenMP_t64,3.28023
256,OpenMP_t64,3.25984
256,OpenMP_t64,3.24328
256,OpenMP_t64,3.23867
256,OpenMP_t64,3.24194
