N,Function,Latency_ms,Estimation,Error_abs,Error_rel
1,P1_CUDA_Det,0.039904,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040196,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.043602,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040656,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039985,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040225,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040436,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039665,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040345,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040296,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040145,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.042109,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040155,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039895,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039714,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040075,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040496,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040796,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040596,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039524,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040096,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040065,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040616,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039725,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040506,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039945,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039645,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039845,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040155,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039995,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039815,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040186,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040666,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040386,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040135,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040085,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040055,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040065,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040045,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040045,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040395,0.00788608,1.93972e-06,0.000246028
