N,Function,Latency_ms,Estimation,Error
1000,CPU,0.305001,0.074,0.0054104
1000,CPU,0.304399,0.07,0.0014104
1000,CPU,0.29965,0.069,0.0004104
1000,CPU,0.303348,0.056,0.0125896
1000,CPU,0.320269,0.064,0.0045896
1000,CPU,0.33666,0.057,0.0115896
1000,CPU,0.303118,0.066,0.0025896
1000,CPU,0.304299,0.059,0.0095896
1000,CPU,0.307526,0.07,0.0014104
1000,CPU,0.304399,0.068,0.0005896
1000,CPU,0.304159,0.088,0.0194104
1000,CPU,0.303969,0.072,0.0034104
1000,CPU,0.304069,0.085,0.0164104
1000,CPU,0.304109,0.074,0.0054104
1000,CPU,0.298659,0.044,0.0245896
1000,CPU,0.304399,0.069,0.0004104
1000,CPU,0.304129,0.071,0.0024104
1000,CPU,0.308868,0.071,0.0024104
1000,CPU,0.303398,0.062,0.0065896
1000,CPU,0.300642,0.083,0.0144104
1000,CPU,0.305191,0.073,0.0044104
1000,CPU,0.308036,0.078,0.0094104
1000,CPU,0.304179,0.071,0.0024104
1000,CPU,0.305432,0.085,0.0164104
1000,CPU,0.30443,0.062,0.0065896
1000,CPU,0.300311,0.075,0.0064104
1000,CPU,0.303868,0.07,0.0014104
1000,CPU,0.303729,0.058,0.0105896
1000,CPU,0.304059,0.072,0.0034104
1000,CPU,0.303808,0.087,0.0184104
1000,CPU,0.301484,0.077,0.0084104
1000,CPU,0.304609,0.072,0.0034104
1000,CPU,0.303938,0.074,0.0054104
1000,CPU,0.303959,0.062,0.0065896
1000,CPU,0.307085,0.062,0.0065896
1000,CPU,0.30464,0.067,0.0015896
1000,CPU,0.300312,0.075,0.0064104
1000,CPU,0.303007,0.073,0.0044104
1000,CPU,0.303759,0.065,0.0035896
1000,CPU,0.304249,0.053,0.0155896
1000,CPU,0.304721,0.088,0.0194104
1000,CPU,0.300341,0.077,0.0084104
1000,CPU,0.30451,0.062,0.0065896
1000,CPU,0.303497,0.071,0.0024104
1000,CPU,0.303357,0.057,0.0115896
1000,CPU,0.30508,0.063,0.0055896
1000,CPU,0.303739,0.069,0.0004104
1000,CPU,0.302376,0.074,0.0054104
1000,CPU,0.304019,0.071,0.0024104
1000,CPU,0.30467,0.077,0.0084104
1000,CPU,0.303648,0.062,0.0065896
1000,CPU,0.30498,0.069,0.0004104
1000,CPU,0.303688,0.063,0.0055896
1000,CPU,0.29977,0.07,0.0014104
1000,CPU,0.30482,0.066,0.0025896
1000,CPU,0.305051,0.082,0.0134104
1000,CPU,0.303648,0.079,0.0104104
1000,CPU,0.30448,0.073,0.0044104
1000,CPU,0.300633,0.079,0.0104104
1000,CPU,0.304159,0.057,0.0115896
1000,CPU,0.307816,0.072,0.0034104
1000,CPU,0.303168,0.064,0.0045896
1000,CPU,0.304289,0.073,0.0044104
1000,CPU,0.303478,0.062,0.0065896
1000,CPU,0.300011,0.065,0.0035896
1000,CPU,0.304049,0.071,0.0024104
1000,CPU,0.30444,0.065,0.0035896
1000,CPU,0.305031,0.064,0.0045896
1000,CPU,0.304039,0.079,0.0104104
1000,CPU,0.300162,0.069,0.0004104
1000,CPU,0.309239,0.06,0.0085896
1000,CPU,0.30493,0.07,0.0014104
1000,CPU,0.303768,0.073,0.0044104
1000,CPU,0.304149,0.08,0.0114104
1000,CPU,0.307085,0.072,0.0034104
1000,CPU,0.299741,0.07,0.0014104
1000,CPU,0.303407,0.067,0.0015896
1000,CPU,0.30467,0.082,0.0134104
1000,CPU,0.303858,0.065,0.0035896
1000,CPU,0.303879,0.064,0.0045896
1000,CPU,0.305271,0.069,0.0004104
1000,CPU,0.303808,0.067,0.0015896
1000,CPU,0.303338,0.066,0.0025896
1000,CPU,0.304459,0.082,0.0134104
1000,CPU,0.30476,0.076,0.0074104
1000,CPU,0.304279,0.064,0.0045896
1000,CPU,0.299852,0.074,0.0054104
1000,CPU,0.307315,0.077,0.0084104
1000,CPU,0.305051,0.075,0.0064104
1000,CPU,0.304449,0.072,0.0034104
1000,CPU,0.304459,0.071,0.0024104
1000,CPU,0.303198,0.072,0.0034104
1000,CPU,0.29925,0.062,0.0065896
1000,CPU,0.303798,0.058,0.0105896
1000,CPU,0.304951,0.076,0.0074104
1000,CPU,0.30435,0.073,0.0044104
1000,CPU,0.303267,0.059,0.0095896
1000,CPU,0.299691,0.069,0.0004104
1000,CPU,0.305211,0.076,0.0074104
1000,CPU,0.304329,0.058,0.0105896
1000,CPU,0.307785,0.072,0.0034104
1000,CPU,0.304389,0.076,0.0074104
1000,CPU,0.303898,0.076,0.0074104
1000,CPU,0.299992,0.063,0.0055896
1000,CPU,0.304159,0.065,0.0035896
1000,CPU,0.305301,0.072,0.0034104
1000,CPU,0.30445,0.065,0.0035896
1000,CPU,0.304179,0.069,0.0004104
1000,CPU,0.298429,0.05,0.0185896
1000,CPU,0.30455,0.073,0.0044104
1000,CPU,0.303959,0.067,0.0015896
1000,CPU,0.304109,0.076,0.0074104
1000,CPU,0.304089,0.077,0.0084104
1000,CPU,0.312275,0.074,0.0054104
1000,CPU,0.301203,0.067,0.0015896
1000,CPU,0.30457,0.063,0.0055896
1000,CPU,0.303398,0.06,0.0085896
1000,CPU,0.303648,0.061,0.0075896
1000,CPU,0.303628,0.067,0.0015896
1000,CPU,0.29959,0.07,0.0014104
1000,CPU,0.303608,0.064,0.0045896
1000,CPU,0.303978,0.072,0.0034104
1000,CPU,0.304821,0.081,0.0124104
1000,CPU,0.309589,0.074,0.0054104
1000,CPU,0.30456,0.076,0.0074104
1000,CPU,0.299401,0.059,0.0095896
1000,CPU,0.306663,0.071,0.0024104
1000,CPU,0.303507,0.075,0.0064104
1000,CPU,0.303719,0.067,0.0015896
1000,CPU,0.303919,0.072,0.0034104
1000,CPU,0.302826,0.059,0.0095896
1000,CPU,0.29928,0.072,0.0034104
1000,CPU,0.30463,0.084,0.0154104
1000,CPU,0.304209,0.071,0.0024104
1000,CPU,0.303768,0.058,0.0105896
1000,CPU,0.303938,0.063,0.0055896
1000,CPU,0.299821,0.073,0.0044104
1000,CPU,0.304159,0.082,0.0134104
1000,CPU,0.304029,0.077,0.0084104
1000,CPU,0.307195,0.054,0.0145896
1000,CPU,0.303889,0.067,0.0015896
1000,CPU,0.303778,0.05,0.0185896
1000,CPU,0.300262,0.066,0.0025896
1000,CPU,0.30437,0.075,0.0064104
1000,CPU,0.305111,0.086,0.0174104
1000,CPU,0.303688,0.061,0.0075896
1000,CPU,0.303929,0.054,0.0145896
1000,CPU,0.29924,0.065,0.0035896
1000,CPU,0.304259,0.071,0.0024104
1000,CPU,0.303848,0.065,0.0035896
